,name,rating,distance
788,Telegraph Café Restaurant,4.0,209.2083690864047
789,Barcelona,4.0,131.56849561886804
790,Café Madrid,4.0,284.78399107839755
791,Kildare City Pub,4.5,381.6398922698106
792,Sappho,4.5,357.1517575819489
793,Il Corso,4.5,420.8033289945648
794,Cafe Luise,3.5,18.925010542688504
795,Weinwirtschaft,4.0,317.2149457940136
796,Romanushof,4.0,497.03361465993663
797,Apels Garten,4.0,276.0524013615709
798,Hoshi,4.5,391.15270331825957
799,Chang,4.0,183.18434197382143
800,InsideAsia,4.0,57.437072381172875
801,Elsterartig,3.5,109.95407332112879
802,Maison Viet,5.0,91.76444196661024
803,Burgerheart,3.5,66.2069315162311
804,Mascarpone,4.0,66.09238666611239
805,Vodkaria,4.0,141.15679059922306
806,Café Gloria,5.0,310.72012601401383
807,Zill's Tunnel,3.5,306.154476590352
808,Wenzel Leipzig,3.5,274.6974593608593
809,Valentino,4.0,433.44944258181766
810,Phô Viêt,4.0,455.7698865191465
811,Canito,4.5,79.08487148497534
812,Rizzi,4.0,466.41446567264916
813,Bar Jamboree,4.5,143.6245555820587
814,C'est la vie,4.5,179.18036994230715
815,Umaii,3.5,279.596076159143
816,Fürst,4.0,291.4805689508396
817,Lucca-Bar,4.5,355.49292827774696
818,L'Osteria,4.0,381.7087909472414
819,Zur Pleißenburg,3.5,404.7899633987377
820,Zchaca,4.5,395.97080456514453
821,ALFA,5.0,354.71326843797954
822,Schnitzel Culture,3.0,251.62499128412455
823,La Casa,4.5,213.81313018155808
824,Bachstüb'l An Der Thomaskirche,3.5,335.8341028248695
825,Brasserie Le Grand,4.5,490.4935103960649
826,Kellari,4.0,433.4993668379407
827,Gourmetrestaurant Villers,5.0,512.3512158061261
828,La Provence,3.5,284.7256289123766
829,Burgermeister,4.0,534.3146071636811
830,Brauhaus an der Thomaskirche,3.0,359.28234192866495
831,Wagners,4.0,378.5533564413337
832,Mein Leipzig,4.5,333.5063426293835
833,An Nam,4.5,437.33531586468945
834,Schrebers,4.5,77.83787503859712
835,Sappho,4.5,383.7268784964535
836,Johann S.,4.5,77.83787503859712
837,Apels Garten,4.0,381.2371941279245
838,Sakura,4.5,464.96482604896863
839,Barcelona,4.0,431.7799953471752
840,Tamers,4.5,428.87325101955616
841,Pilot,4.0,547.9677660783601
842,Dankbar,5.0,395.97950040817193
843,VoKü Libelle,5.0,262.55551539610775
844,Chang,4.0,437.9101439958983
845,Barfusz,3.5,77.83787503859712
846,Spagos,4.0,77.83787503859712
847,Aspendos Grill,4.0,444.7170966010452
848,Da Franco,3.5,426.26951493328613
849,L'arena,3.5,463.8404668863867
850,Papperlapapp,4.0,405.80279417190167
851,Burgerheart,3.5,441.57167737910225
852,La Casa,4.5,421.7849037869355
853,Vodkaria,4.0,409.2038185637799
854,C'est la vie,4.5,437.65716921117064
855,Cafe Kandler,4.0,77.83787503859712
856,Bar Jamboree,4.5,408.65601806130627
857,Mascarpone,4.0,428.6318245246235
