,name,rating,distance
201,Maharadscha,-1,58
202,Subway,5.9,82
203,Bacco 36,7.3,274
204,Fam Tran Phat,6.3,214
205,L`arena Pizzeria,6.1,244
206,Von Meck,-1,226
207,lauritz Café & Handwerk,-1,253
208,Taverna Hellas,-1,261
209,Aspendos Grill,6.0,346
210,Ratskeller der Stadt Leipzig,8.6,112
211,Schiller Cafe,7.0,101
212,MissMarple‘s – Steaks ‘n Bar,-1,36
213,Bohemian Kids Cafe,8.7,263
214,L'Osteria,8.4,285
215,ZR Zchaca Restaurant,8.2,277
216,Kantine Leipzig,-1,129
217,Thüringer Hof,7.4,244
218,Il Corso,6.9,228
219,Max Enk,7.1,277
220,La Piazza Gastronomie GmbH,-1,191
221,Sushi & Nem,6.4,281
222,Cafe Kandler,7.0,357
223,Hoshi Leipzig,-1,258
224,HANS IM GLÜCK - LEIPZIG Augustusplatz,7.4,426
225,Cafe Madrid,7.8,457
226,Pizzeria Del Cavaliere,-1,294
227,Bins Chinarestaurant,-1,296
228,Kimi,-1,303
229,Die erste Leipziger Brotschule mit und von Backhaus Wentzlaff,7.3,443
230,Soupbar Summarum,7.0,445
231,Puro 5,6.6,411
232,Imbiss M. Omran,-1,349
233,Central,6.7,447
234,Bull & Bonito,-1,365
235,Sardinia,7.1,503
236,Restaurant Amor,6.8,476
237,Stadtpfeiffer,-1,390
238,DINEA Café & Restaurant,-1,399
239,Sakura Sushi-Kunst,-1,410
240,Big Burgester,-1,416
241,San Remo Pizzeria & Baguetteria,-1,424
242,TUK TUK Thailändisches Restaurant,5.8,472
243,Ouai,-1,459
244,La Grotta,6.9,273
245,Diego Restaurant & Bar,6.2,205
246,Bacco 36,7.3,442
247,Taverna Hellas,-1,463
248,Valentino,7.5,30
249,Curry & Co,7.3,37
250,Dean & David,7.1,35
251,Enchilada,6.1,17
252,Frittz,-1,62
253,Mondschein,7.5,199
254,McDonald's,6.8,171
255,Peter Pane,7.1,204
256,Sushi to go,-1,112
257,Haiky,6.7,175
258,Yasumi,7.3,226
259,Pho Viet,7.1,221
260,Wenzel Prager Bierstuben,6.6,198
261,Restaurant Villers,-1,138
262,Romanushof,6.8,220
263,Sushi Circle,6.9,245
264,Side Döner,-1,169
265,Barthels Hof,6.6,237
266,Schnitzel Culture,5.6,188
267,Long Food,-1,183
268,Subway,6.4,239
269,Kellari,6.6,256
270,Tischlein Deck Dich,-1,192
271,Barfusz,6.8,276
272,Micello's,-1,198
273,Cafe Madrid,7.8,356
274,Burgermeister der Grill,5.8,227
275,Rusty‘S,-1,218
276,Huwa,6.1,258
277,Endless,-1,226
278,Umaii Ramenbar,6.7,303
279,Bagel Brothers,8.0,406
280,Kartoffelhaus No. 1,5.7,243
281,Stein Café,6.7,316
282,Lerchennest,-1,243
283,Luise,7.8,402
284,Indian Crown,7.1,356
285,ALEX Leipzig,7.5,386
286,Nordsee,6.4,303
287,Zigarre,5.9,271
288,Vietnam-Küche,-1,253
289,Kritton Kouzina,-1,256
290,An Nam,7.6,410
291,Sole Mio,-1,257
292,Piccola Italia,6.8,353
293,Feuerwassereis Kochen Erleben,-1,264
294,Fürst,-1,282
295,Chang,7.7,444
296,Goldene Kugel,6.2,332
297,Sakura Kaiten Sushibar,7.2,421
298,HANS IM GLÜCK - LEIPZIG Augustusplatz,7.4,65
299,Bohemian Kids Cafe,8.7,211
300,Sardinia,7.1,171
301,Stadtpfeiffer,-1,112
302,Max Enk,7.1,212
303,Spagos Restaurant & Lounge,-1,174
304,San Remo Pizzeria & Baguetteria,-1,176
305,Imperii,8.4,351
306,Central,6.7,255
307,Planerts,7.4,308
308,Felix Kantine,-1,187
309,Bins Chinarestaurant,-1,194
310,Kimi,-1,196
311,ALEX Leipzig,7.5,325
312,Andria Ristorante,7.1,327
313,Indian Palace,6.3,281
314,Indian Crown,7.1,350
315,DINEA Café & Restaurant,-1,242
316,India Gate,5.7,258
317,Bagel Brothers,8.0,435
318,Trattoria Amici,7.5,408
319,Mumbai,5.8,277
320,Schiller Cafe,7.0,373
321,Rostbratwurstgrill.de,-1,276
322,Vietnam Bistro,-1,294
323,Indian Curry House,-1,296
324,Stein Café,6.7,398
325,Thüringer Hof,7.4,464
326,Sushi & Nem,6.4,378
327,Toskana Leipzig,-1,323
328,Cafe Kandler,7.0,461
329,Sushi Circle,6.9,457
330,Puro 5,6.6,440
331,Pho Viet,7.1,490
332,Nordsee,6.4,433
333,Peter Pane,7.1,509
334,Barfusz,6.8,488
335,Niiko Sushi x Vegan,-1,406
336,Barthels Hof,6.6,512
337,Burger King,5.0,418
338,Vietnam-Küche,-1,472
339,Feuerwassereis Kochen Erleben,-1,480
340,Pizzeria Del Cavaliere,-1,481
341,Bellinis,5.2,472
342,Bäckerei Schäfers,-1,1649
343,Studio 3,-1,26
344,Hot Pizza,-1,328
345,Peperoni,-1,418
346,H & V Asia Imbiss Döner,-1,420
347,Anatolien,-1,459
348,ShowKantine,-1,459
349,Insel20,-1,484
350,Globus Döner,7.9,7
351,Espresso Zack Zack,8.8,150
352,Bistro de Libanon,6.9,173
353,Quan Xua Restaurant,-1,177
354,Dönizza,-1,197
355,Reudnitzer Terrassen,-1,378
356,Café Bubu,-1,451
357,Kumpir Döner,-1,474
358,Kenko Burger,-1,479
359,Star Pizza Service,-1,498
360,Parkrestaurant am Völkerschlachtdenkmal,-1,38
361,Pello,-1,63
362,Divino,7.4,44
363,Meetfreude,7.2,57
364,Kollektiv,6.6,32
365,Noels Ballroom,8.4,154
366,Sen Asia Food,-1,51
367,Mother India,-1,67
368,Café feinOST,-1,68
369,Alexanders,-1,84
370,Mr. Thong Sushi & more,-1,121
371,Stückwerk Pizzakultur,-1,126
372,La Strada,6.0,193
373,L'arte della cucina italiana,-1,195
374,Shams Bistro & Lieferservice,7.5,336
375,Bistro El-Amir,7.5,342
376,Lothar,-1,216
377,Cafe Maitre,8.1,133
378,L'angolo d'Italia,-1,223
379,Asia Imbiss,-1,229
380,Olive Tree Döner & Pizza Leipzig,7.8,419
381,Fela,7.5,399
382,Shady,7.5,449
383,Shahia,7.6,454
384,Kneipencafe Orange,7.0,427
385,Orpheus,-1,354
386,Yoko Sushi,-1,355
387,Stella Ristorante,-1,360
388,Acapulco,5.8,394
389,Safran,5.7,393
390,Sona Leipzig,-1,391
391,Café NiMo,-1,438
392,Habibi Bistro Döner,-1,450
393,Goa - Indisches Restaurant,-1,457
394,Sindbad,-1,541
395,Shiki Sushi Bar Two,7.8,84
396,Uptown Coffee Bar,7.6,93
397,Subway,6.5,105
398,VITA B Gesund & Lecker,5.9,109
399,Amazigh Feinkost,-1,99
400,Restaurant Amor,6.8,225
401,Soupbar Summarum,7.0,260
402,Zhang,7.8,311
403,TUK TUK Thailändisches Restaurant,5.8,243
404,Sakura Sushi-Kunst,-1,239
405,Ouai,-1,249
406,Big Burgester,-1,256
407,Burger King,5.3,254
408,Vietnam Küche,-1,330
409,Domino's Pizza Leipzig Süd,-1,421
410,Dios grill,-1,428
411,Goa - Indisches Restaurant,-1,487
412,Chito Gvrito,-1,488
413,Willsons,7.5,90
414,Curry Süd,6.1,17
415,DINA Falafel and more,-1,74
416,Döner King,5.9,196
417,Goldfisch,-1,193
418,A Tacolypse,7.9,368
419,Bistro Shahia II,-1,223
420,MC Scheich II,-1,225
421,Vegan Express,-1,225
422,Ristorante Pizzeria Natalina,7.8,435
423,Krummbirne,-1,302
424,Le Cygne,-1,310
425,Restaurant Mona Lisa,-1,332
426,Pizza Revolution Leipzig,-1,334
427,Paps,-1,351
428,Bistro Grill Süd Noori,-1,368
429,Betten Költzsch,-1,373
430,Lamies Orientalische Spezialitäten,-1,438
431,Brotlos,-1,158
432,Ginseng,-1,221
433,Hacienda Mexicana,-1,366
434,Uno Pizza Leipzig Gohlis,-1,374
435,Schwung und Schwebe,-1,443
436,Portofino,-1,487
437,Ikram ocakbasi,-1,9
438,Mr. Wok Asia Bistro,-1,59
439,Furat Bistro,-1,95
440,Bistro Haci Baba,-1,96
441,Antalya Kebabhaus,-1,128
442,Bab Al Qalaa,-1,147
443,KuApo - Die Kulturapotheke,-1,199
444,Pizzeria Tito,-1,241
445,Sesam Grill Leipzig,-1,258
446,Öz Mevlana,-1,352
447,Peking Palast,-1,81
448,Pizzeria Gasse,-1,215
449,KuApo - Die Kulturapotheke,-1,375
450,Bab Al Qalaa,-1,427
451,Kebap Pide Haus,-1,83
452,Hallo Pizza,-1,1053
453,Trattoria und Pizzeria Aurelia,7.2,86
454,Restaurant Palmensaal,-1,133
455,Bambus Frisch,-1,223
456,Hacienda Las Casas im Zoo Leipzig,6.5,303
457,Mondschein,7.5,407
458,Piccola Italia,6.8,387
459,Café Yellow Brasil,-1,299
460,Restaurant Brühl,-1,374
461,Kellari,6.6,471
462,Restaurant Villers,-1,454
463,Kritton Kouzina,-1,488
464,Restaurant Ofenrohr,7.3,394
465,Bambus Frisch,-1,338
466,Restaurant Palmensaal,-1,392
467,Hacienda Las Casas im Zoo Leipzig,6.5,530
468,Bistro Antep,-1,13
469,Mytropolis,8.4,331
470,Pamir Bistro,-1,179
471,Jeepney Café,-1,194
472,Call a Pizza,-1,212
473,Uno Pizza Leipzig Gohlis,-1,305
474,Konoba Laterna,-1,319
475,Ristorante Vitelli,-1,340
476,Hachimi,-1,359
477,Frieda Restaurant,-1,426
478,Hart & Herzlich Pâtisserie unplugged,-1,444
479,Imbiss Damaskus,-1,455
480,Salumi,-1,481
481,Salumeria Italiana,-1,2145
482,City Grill,-1,40
483,Eiscafé im Rosenhof,-1,246
484,Restaurant Aufgehende Sonne,-1,311
485,El Torro,-1,340
486,Will - Grill,-1,342
487,Stottmeister,-1,375
488,Casablanca,-1,386
489,Casablanca Hotel Restaurant Bowlingbahn,-1,392
